title,details,link
Troyer syndrome,Other names: Autosomal recessive spastic paraplegia type 20;  Cross-McKusick syndrome;  Spastic paraparesis;  childhood-onset;  with distal muscle wasting;  Spastic paraplegia 20;  Spastic paraplegia 20;  autosomal recessive;  Spastic paraplegia;  autosomal recessive;  Troyer type;  SPG20,diseases/5372/troyer-syndrome
True thymic hyperplasia,,diseases/10192/true-thymic-hyperplasia
Trueb Burg Bottani syndrome,Other names: Ectodermal dysplasia with corkscrew hairs;  Tricho-odonto-onychodysplasia with syndactyly,diseases/5376/trueb-burg-bottani-syndrome
"Trypanosomiasis, Human East-African",Other names: Sleeping sickness,diseases/7826/trypanosomiasis-human-east-african
"Trypanosomiasis, Human West-African",Other names: Gambian sleeping sickness,diseases/8540/trypanosomiasis-human-west-african
Tryptophanuria with dwarfism,,diseases/4268/tryptophanuria-with-dwarfism
Tuberculous meningitis,Other names: TB meningitis;  Tubercular meningitis,diseases/7828/tuberculous-meningitis
Tuberculous uveitis,,diseases/7829/tuberculous-uveitis
Tuberous sclerosis complex,Other names: Tuberous sclerosis 1;  Tuberous sclerosis complex,diseases/7830/tuberous-sclerosis-complex
Tubular aggregate myopathy,Other names: Myopathy;  tubular aggregate,diseases/3884/tubular-aggregate-myopathy
Tubulointerstitial nephritis and uveitis,Other names: TINU;  TINU syndrome,diseases/9252/tubulointerstitial-nephritis-and-uveitis
Tucker syndrome,Other names: Congenital bilateral recurrent nerve paralysis and ptosis;  Ptosis vocal cord paralysis,diseases/427/tucker-syndrome
Tufted angioma,Other names: Angioma tufted,diseases/425/tufted-angioma
Tufting enteropathy,Other names: Congenital enteropathy;  Congenital familial intractable diarrhea with enterocytes assembly abnormalities;  IED;  Intestinal epithelial dysplasia,diseases/10630/tufting-enteropathy
Tukel syndrome,Other names: CFEOM-U;  Congenital extraocular muscle fibrosis with ulnar hand anomalies,diseases/9814/tukel-syndrome
Tularemia,Other names: Deerfly fever;  Francisella tularensis infection;  Lemming fever;  Ohara disease;  Pahvant Valley plague;  Rabbit fever;  Yatobyo (Japan),diseases/396/tularemia
Tumefactive multiple sclerosis,Other names: Baló concentric sclerosis;  Balo disease;  Balo's concentric sclerosis;  Balo's disease;  Concentric demyelination;  Diffuse cerebral sclerosis of Schilder;  Encephalitis periaxialis concentrica;  Marburg variant,diseases/5885/tumefactive-multiple-sclerosis
Tumor necrosis factor receptor-associated periodic syndrome,Other names: Familial Hibernian fever;  FHF;  FPF;  Hibernian fever;  familial;  Periodic fever;  familial;  autosomal dominant;  TNF receptor-associated periodic fever syndrome;  TNF receptor-associated periodic syndrome;  TRAPS,diseases/8457/tumor-necrosis-factor-receptor-associated-periodic-syndrome
Tumor of cranial and spinal nerves,Other names: Rare tumor of cranial and spinal nerves,diseases/12697/tumor-of-cranial-and-spinal-nerves
Tungiasis,Other names: Chigger flea;  S penetrans;  Sarcopsylla penetrans;  T penetrans;  Tunga penetrans,diseases/393/tungiasis
Turcot syndrome,Other names: Brain tumor-polyposis syndrome;  CNS tumors with Familial polyposis of the colon;  Glioma-polyposis syndrome;  Malignant tumors of the central nervous system associated with familial polyposis of the colon;  Mismatch Repair Cancer Syndrome;  Mismatch Repair Deficiency;  MMR Deficiency;  MMRCS,diseases/420/turcot-syndrome
Turner syndrome,Other names: 45;  X Syndrome;  Bonnevie-Ulrich syndrome;  Chromosome X Monosomy X;  Gonadal Dysgenesis (45; X);  Schereshevkii Turner Syndrome;  Turner Varny Syndrome;  Ullrich-Turner syndrome,diseases/7831/turner-syndrome
TUSC3-CDG,,diseases/12400/tusc3-cdg
Twenty-nail dystrophy,Other names: Autosomal dominant nail dysplasia;  Idiopathic trachyonychia;  Nail disorder;  nonsyndromic congenital 1;  Onychodystrophy totalis;  Sandpaper nails;  Trachyonychia;  Twenty nail dystrophy,diseases/10363/twenty-nail-dystrophy
Twin to twin transfusion syndrome,Other names: Fetal transfusion syndrome;  Fetofetal transfusion syndrome;  TTTS;  Twin-to-twin transfusion syndrome,diseases/325/twin-to-twin-transfusion-syndrome
Tylosis with esophageal cancer,Other names: Bennion-Patterson syndrome;  Howel-Evans syndrome;  Howell-Evans syndrome;  Keratosis palmaris et plantaris with esophageal cancer;  Keratosis palmoplantaris with esophageal cancer;  Keratosis palmoplantaris-esophageal carcinoma syndrome;  Palmoplantar hyperkeratosis-esophageal carcinoma syndrome;  Palmoplantar keratoderma-esophageal carcinoma syndrome;  TOC;  Tylosis - oesophageal carcinoma;  Tylosis-oesophageal carcinoma syndrome,diseases/3102/tylosis-with-esophageal-cancer
Type 1 plasminogen deficiency,Other names: Hypoplasminogenemia,diseases/4380/type-1-plasminogen-deficiency
Typhoid fever,Other names: Enteric fever;  Typhoid,diseases/9564/typhoid-fever
Typhus,Other names: Brill-Zinsser disease;  Endemic typhus;  Epidemic typhus;  Jail fever;  Murine typhus,diseases/7833/typhus
Typical congenital nemaline myopathy,Other names: Typical nemaline myopathy,diseases/12822/typical-congenital-nemaline-myopathy
Tyrosine hydroxylase deficiency,Other names: DOPA responsive dystonia;  autosomal recessive;  Dystonia;  DOPA responsive;  autosomal recessive;  Parkinsonism;  infantile;  autosomal recessive;  Segawa syndrome;  autosomal recessive,diseases/1902/tyrosine-hydroxylase-deficiency
Tyrosine-oxidase temporary deficiency,,diseases/5388/tyrosine-oxidase-temporary-deficiency
Tyrosinemia type 1,Other names: FAH deficiency;  Fumarylacetoacetase deficiency;  Hepatorenal tyrosinemia;  Tyrosinemia type I,diseases/2658/tyrosinemia-type-1
Tyrosinemia type 2,Other names: Keratosis palmoplantaris with corneal dystrophy;  Oculocutaneous tyrosinemia;  Oregon type tyrosinemia;  Richner Hanhart syndrome;  TAT deficiency;  Tyrosine aminotransferase deficiency;  Tyrosine transaminase deficiency;  Tyrosinemia type II;  Tyrosinosis oculocutaneous type,diseases/3105/tyrosinemia-type-2
Tyrosinemia type 3,Other names: 4-alpha hydroxyphenylpyruvate dioxygenase deficiency;  4-alpha hydroxyphenylpyruvic acid oxidase deficiency;  4-hydroxyphenylpyruvate dioxygenase deficiency;  Tyrosinemia type III,diseases/10332/tyrosinemia-type-3
Ulcerative proctitis,,diseases/10976/ulcerative-proctitis
Ulerythema ophryogenesis,Other names: Keratosis pilaris affecting the follicles of the eyebrow hairs;  Type of genodermatosis,diseases/5395/ulerythema-ophryogenesis
Ullrich congenital muscular dystrophy,Other names: Late onset scleroatonic familial myopathy (subtype);  Scleroatonic muscular dystrophy;  UCMD;  Ullrich disease;  Ullrich scleroatonic muscular dystrophy,diseases/4769/ullrich-congenital-muscular-dystrophy
"Ulna and fibula, hypoplasia of",Other names: Hypoplasia of ulna and fibula;  Mesomelic dwarfism of hypoplastic ulna and fibula type;  Mesomelic dysplasia Reinhardt-Pfeiffer type,diseases/3555/ulna-and-fibula-hypoplasia-of
Ulna hypoplasia-intellectual disability syndrome,Other names: Bilateral ulnar hypoplasia and mental retardation;  Mesomelia of the upper limbs;  absent nails;  clubfeet;  and mental retardation,diseases/5398/ulna-hypoplasia-intellectual-disability-syndrome
Ulna metaphyseal dysplasia syndrome,Other names: Hereditary bone dysplasia with characteristic bowing and thickening of the distal ulna;  Metaphyseal chondroplasia Rosenberg type;  Rosenberg Lohr syndrome,diseases/4740/ulna-metaphyseal-dysplasia-syndrome
Ulnar hypoplasia lobster claw deformity of feet,Other names: Complete absence of the ulna and of fingers 2 to 5;  together with lobster-claw deformity of the feet;  Familial ulnar aplasia and lobster claw syndrome;  Severe ulnar aplasia and lobster claw feet;  Van De Berghe Dequeker syndrome,diseases/5400/ulnar-hypoplasia-lobster-claw-deformity-of-feet
Ulnar-mammary syndrome,Other names: Schinzel syndrome;  Ulnar-mammary syndrome of Pallister;  UMS,diseases/118/ulnar-mammary-syndrome
Umbilical cord ulceration and intestinal atresia,Other names: Umbilical cord ulcer with intestinal atresia;  Umbilical ulceration and intestinal atresia,diseases/5403/umbilical-cord-ulceration-and-intestinal-atresia
Unclassified acute myeloid leukemia,Other names: Unclassified AML,diseases/12760/unclassified-acute-myeloid-leukemia
Uncombable hair syndrome,Other names: Cheveux incoiffables;  Pili trianguli et Canaliculi;  Spun glass hair;  Unmanageable hair syndrome,diseases/5404/uncombable-hair-syndrome
Undifferentiated connective tissue disease,Other names: UCTD;  Undifferentiated connective tissue syndrome,diseases/12342/undifferentiated-connective-tissue-disease
Undifferentiated pleomorphic sarcoma,Other names: Malignant fibrohistiocytic tumors;  Malignant fibrous histiocytoma;  UPS,diseases/6963/undifferentiated-pleomorphic-sarcoma
Unicentric Castleman disease,Other names: Localized Castleman disease;  Unicentric angiofollicular ganglionic hyperplasia;  Unicentric angiofollicular lymph hyperplasia,diseases/6005/unicentric-castleman-disease
Unilateral absence of a pulmonary artery,Other names: Congenital absence of the pulmonary artery;  Isolated UAPA;  Isolated unilateral absence of a pulmonary artery;  Pulmonary artery;  isolated unilateral absence of,diseases/8741/unilateral-absence-of-a-pulmonary-artery
Uniparental disomy of chromosome 11,Other names: Paternal uniparental disomy for chromosome 11(type);  Uniparental disomy of 11,diseases/5407/uniparental-disomy-of-chromosome-11
Uniparental disomy of chromosome 2,Other names: Uniparental disomy of 2;  UPD 2,diseases/5412/uniparental-disomy-of-chromosome-2
Uniparental disomy of chromosome 6,Other names: UPD(6)mat;  UPD(6)pat,diseases/5416/uniparental-disomy-of-chromosome-6
Universal acquired melanosis,Other names: Carbon baby syndrome,diseases/1089/universal-acquired-melanosis
Unna-Thost palmoplantar keratoderma,Other names: Diffuse NEPPK;  Diffuse nonepidermolytic palmoplantar keratoderma;  PPK diffusa circumscripta;  Thost-Unna disease;  Thost-Unna palmoplantar keratoderma,diseases/5186/unna-thost-palmoplantar-keratoderma
Unverricht-Lundborg disease,Other names: Epilepsy;  progressive myoclonic type 1;  Epilepsy;  progressive myoclonus 1;  EPM1;  Myoclonic epilepsy of Unverricht and Lundborg;  Myoclonus progressive epilepsy of Unverricht and Lundborg;  Progressive myoclonus epilepsy baltic myoclonic epilepsy,diseases/3876/unverricht-lundborg-disease
Upington disease,Other names: Familial dyschondroplasia;  Perthes-like hip disease;  enchondromata;  and ecchondromata,diseases/5421/upington-disease
Urachal adenocarcinoma,Other names: Adenocarcinoma of the urachus,diseases/10186/urachal-adenocarcinoma
Urachal cancer,Other names: Urachal carcinoma,diseases/7836/urachal-cancer
Urachal cyst,,diseases/5425/urachal-cyst
Urea cycle disorders,Other names: UCD,diseases/7837/urea-cycle-disorders
Urethral cancer,,diseases/9390/urethral-cancer
Urethral obstruction sequence,Other names: Early urethral obstruction sequence;  EUOS;  Renal dysplasia or hydronephrosis;  oligohydramnios and subsequent lung hypoplasia due to urethral obstruction,diseases/5428/urethral-obstruction-sequence
Urocanase deficiency,,diseases/8539/urocanase-deficiency
Urogenital adysplasia,,diseases/5432/urogenital-adysplasia
Usher syndrome,Other names: Deafness-retinitis pigmentosa syndrome;  Dystrophia retinae pigmentosa-dysostosis syndrome;  Graefe-Usher syndrome;  Hallgren syndrome;  Usher's syndrome,diseases/7843/usher-syndrome
Usher syndrome type 2A,Other names: US2;  USH2;  USH2A,diseases/5440/usher-syndrome-type-2a
Usher syndrome type 3A,Other names: USH3;  USH3A,diseases/5442/usher-syndrome-type-3a
"Usher syndrome, type 1",Other names: Retinitis pigmentosa and congenital deafness;  US1;  USH1;  USH1A;  Usher syndrome;  type 1A;  Usher syndrome;  type I;  French variety,diseases/5435/usher-syndrome-type-1
Uterine Carcinosarcoma,Other names: Carcinosarcoma of the corpus uteri;  Malignant mixed müllerian tumor of corpus uteri;  Malignant mixed Müllerian tumor of the corpus uteri;  Mixed müllerian cancer of corpus uteri,diseases/12335/uterine-carcinosarcoma
Uterine sarcoma,Other names: Sarcoma of the uterus,diseases/9383/uterine-sarcoma
UV sensitive syndrome,Other names: UVSS,diseases/10947/uv-sensitive-syndrome
Uveal coloboma-cleft lip and palate-intellectual disability,Other names: Coloboma-microphthalmos syndrome;  Coloboma-microphthalmos syndrome associated with sensorineural hearing loss;  hematuria;  and cleft lip/palate;  Uveal coloboma-cleft lip/palate-mental retardation syndrome (formerly),diseases/1440/uveal-coloboma-cleft-lip-and-palate-intellectual-disability
Uveal diseases,,diseases/8192/uveal-diseases
VACTERL association,Other names: VATER association,diseases/5443/vacterl-association
"VACTERL association with hydrocephaly, X-linked",Other names: X-linked VACTERL-H syndrome,diseases/8498/vacterl-association-with-hydrocephaly-x-linked
VACTERL hydrocephaly,Other names: VACTERL association with hydrocephaly;  Vertebral (V);  anal (A);  cardiac (C);  tracheoesophageal (TE);  renal (R) and limb (L) anomalies and hydrocephaly,diseases/272/vacterl-hydrocephaly
"Vagina, absence of",Other names: Absence of vagina,diseases/10022/vagina-absence-of
Vaginal cancer,,diseases/9348/vaginal-cancer
Valinemia,Other names: Hypervalinemia;  Valine transaminase deficiency,diseases/7845/valinemia
Van Benthem-Driessen-Hanveld syndrome,Other names: Cryptorchidism arachnodactyly intellectual deficit;  Cryptorchidism-arachnodactyly-intellectual disability syndrome,diseases/860/van-benthem-driessen-hanveld-syndrome
Van Bogaert-Hozay syndrome,Other names: A Familial form of acro-osteolysis associated with a mild mental retardation;  skin atrophy;  facial dysmorphism;  and ocular defects;  Acro-osteolysis-facial dysplasia syndrome;  Hozay’s syndrome,diseases/8415/van-bogaert-hozay-syndrome
Van Buchem disease type 2,Other names: Osteosclerosis of the skull and enlarged mandible;  VBCH2,diseases/9488/van-buchem-disease-type-2
Van Den Bosch syndrome,Other names: Mental deficiency;  choroideremia;  acrokeratosis verruciformis; anhidrosis;  skeletal deformity,diseases/5453/van-den-bosch-syndrome
Van den Ende Gupta syndrome,Other names: Blepharophimosis;  arachnodactyly;  and congenital contractures;  Marden Walker like syndrome;  Marden Walker like syndrome without psychomotor retardation;  VDEGS,diseases/3382/van-den-ende-gupta-syndrome
Van der Woude syndrome,Other names: Cleft lip and/or palate with mucous cysts of lower lip;  Lip pit syndrome;  LPS;  VDWS;  VWS,diseases/8414/van-der-woude-syndrome
Van der Woude syndrome 2,Other names: VWS2,diseases/7846/van-der-woude-syndrome-2
Variant Creutzfeldt-Jakob disease,Other names: New variant of CJD;  Nv-CJD;  Variant CJD;  Variant Creutzfeldt-Jacob disease;  VCJD,diseases/9550/variant-creutzfeldt-jakob-disease
Variegate porphyria,Other names: Porphyria variegate;  Porphyria;  South African type;  PPOX deficiency;  Protoporphyrinogen oxidase deficiency;  VP,diseases/7848/variegate-porphyria
Vascular Ehlers-Danlos syndrome,Other names: Arterial-ecchymotic EDS;  EDS IV;  EDS IV (formerly);  EDS type 4;  EDS type 4 (formerly);  EDS4 (formerly);  Ehlers Danlos syndrome;  arterial type;  Ehlers Danlos syndrome;  ecchymotic type;  Ehlers Danlos syndrome;  Sack-Barabas type;  Ehlers-Danlos syndrome type 4;  Ehlers-Danlos syndrome type 4 (formerly);  Ehlers-Danlos syndrome type IV;  Ehlers-Danlos syndrome type IV (formerly);  Ehlers-Danlos syndrome;  vascular type;  Sack-Barabas syndrome;  Vascular EDS;  vEDS,diseases/2082/vascular-ehlers-danlos-syndrome
Vascular hyalinosis,Other names: Digestive tract and renal small vessel hyalinosis;  intracerebral calcifications;  retinal ischemic syndrome and phenotypic a,diseases/4635/vascular-hyalinosis
Vasculitis,Other names: Angiitis;  Autoimmune vasculitis;  Vasculitis;  autoimmune,diseases/9565/vasculitis
Vasquez Hurst Sotos syndrome,,diseases/5465/vasquez-hurst-sotos-syndrome
Vein of Galen aneurysm,Other names: Ectasia or varix of the vein of Galen;  Galen vein aneurysm;  Galenic arteriovenous malformation;  Vein of Galen aneurysm malformation;  VGAM,diseases/5467/vein-of-galen-aneurysm
Velofacioskeletal syndrome,,diseases/5469/velofacioskeletal-syndrome
Venezuelan equine encephalitis,,diseases/6355/venezuelan-equine-encephalitis
Ventricular extrasystoles with syncopal episodes - perodactyly - Robin sequence,Other names: Stoll-Kieny-Dott syndrome;  Ventricular extrasystoles perodactyly Robin sequence;  Ventricular extrasystoles with syncope;  perodactyly;  and Robin sequence,diseases/5472/ventricular-extrasystoles-with-syncopal-episodes-perodactyly-robin-sequence
"Ventricular fibrillation, idiopathic",,diseases/5474/ventricular-fibrillation-idiopathic
Ventricular septal defects,Other names: Heart septal defects;  ventricular,diseases/7853/ventricular-septal-defects
"Ventriculoarterial discordance, isolated",Other names: Congenitally uncorrected transposition of the great vessels;  ventriculoarterial discordance with atrioventricular concordance,diseases/5476/ventriculoarterial-discordance-isolated
Verloes Bourguignon syndrome,Other names: Amelogenesis imperfecta and platyspondyly;  Platyspondyly with amelogenesis imperfecta;  Skeletal dysplasia with amelogenesis imperfecta and platyspondyly,diseases/5478/verloes-bourguignon-syndrome
Verloes Van Maldergem Marneffe syndrome,Other names: Dominantly inherited bone dysplasia with severe eye involvement;  Microspherophakia-metaphyseal dysplasia,diseases/5481/verloes-van-maldergem-marneffe-syndrome
Verloove Vanhorick Brubakk syndrome,Other names: Cleft Limb Heart Malformation Syndrome;  CLH Syndrome,diseases/5482/verloove-vanhorick-brubakk-syndrome
Vernal keratitis,,diseases/10531/vernal-keratitis
Vernal keratoconjunctivitis,Other names: VKC,diseases/7854/vernal-keratoconjunctivitis
Verrucous nevus acanthokeratolytic,,diseases/5485/verrucous-nevus-acanthokeratolytic
Vertebral body fusion overgrowth,Other names: Progressive anterior vertebral body fusion;  overgrowth and distinct craniofacial appearance,diseases/5486/vertebral-body-fusion-overgrowth
"Vestibulocochlear dysfunction, progressive",Other names: Familial progressive vestibulocochlear dysfunction,diseases/5489/vestibulocochlear-dysfunction-progressive
Vibratory urticaria,Other names: Angioedema;  vibratory;  Vibratory angioedema,diseases/9806/vibratory-urticaria
Vibrio vulnificus infection,,diseases/9584/vibrio-vulnificus-infection
Vici syndrome,Other names: Absent corpus callosum cataract immunodeficiency;  Dionisi Vici Sabetta Gambarara syndrome;  Immunodeficiency with cleft lip/palate;  cataract;  hypopigmentation and absent corpus callosum,diseases/448/vici-syndrome
Viljoen Kallis Voges syndrome,Other names: Microcephaly brachydactyly kyphoscoliosis;  Microcephaly;  short stature;  brachydactyly type D;  flattened occiput;  low-set large ears;  prominent nose;  kyphoscoliosis and intellectual disability,diseases/5490/viljoen-kallis-voges-syndrome
VIPoma,Other names: Diarrheogenic Islet Cell Tumor;  Pancreatic VIPoma;  Vasoactive intestinal peptide (VIP) tumor;  Vasoactive intestinal peptide-producing tumor;  VIP-secreting tumor,diseases/5493/vipoma
Viral hemorrhagic fever,,diseases/5494/viral-hemorrhagic-fever
Virilizing ovarian tumor,,diseases/5495/virilizing-ovarian-tumor
Virus associated hemophagocytic syndrome,,diseases/7857/virus-associated-hemophagocytic-syndrome
Visceral neuropathy familial,Other names: Argyrophil myenteric plexus deficiency of;  Intestinal pseudoobstruction due to neuronal disease;  Pseudoobstruction chronic idiopathic intestinal neuronal type,diseases/3969/visceral-neuropathy-familial
Visceral steatosis,Other names: Fatal neonatal hepatic steatosis;  Fatty metamorphosis of viscera;  Steatosis of liver;  White liver disease,diseases/8514/visceral-steatosis
"Visual pathway and hypothalamic glioma, childhood",,diseases/9309/visual-pathway-and-hypothalamic-glioma-childhood
Visual snow syndrome,Other names: Visual snow,diseases/12062/visual-snow-syndrome
Vitiligo,,diseases/10751/vitiligo
Vitreoretinal degeneration,,diseases/5506/vitreoretinal-degeneration
VLCAD deficiency,Other names: Very long-chain acyl-CoA dehydrogenase deficiency;  VLCADD,diseases/5508/vlcad-deficiency
Vocal cord dysfunction familial,Other names: Familial vocal cord dysfunction;  Gerhardt syndrome;  LABD;  Laryngeal abductor paralysis;  Plott syndrome,diseases/5509/vocal-cord-dysfunction-familial
Vogt-Koyanagi-Harada disease,Other names: Uveomenigitic syndrome;  VKH disease;  VKH syndrome;  Vogt-Koyanagi-Harada syndrome,diseases/7862/vogt-koyanagi-harada-disease
Vohwinkel syndrome,Other names: Deafness;  congenital;  with keratopachydermia and constrictions of fingers and toes;  Keratoderma hereditarium mutilans;  KHM;  Mutilating keratoderma,diseases/3092/vohwinkel-syndrome
Von Hippel-Lindau disease,Other names: VHL;  VHL syndrome;  Von Hippel Lindau disease;  Von Hippel-Lindau disease;  Von Hippel-Lindau syndrome,diseases/7855/von-hippel-lindau-disease
Von Willebrand disease,Other names: Hereditary von Willebrand disease;  Von Willebrand factor;  deficiency;  VWD,diseases/7867/von-willebrand-disease
Vulvar cancer,,diseases/9349/vulvar-cancer
Vulvar Vestibulitis Syndrome,Other names: Vulvar dysesthesia localized in the vestibule;  VVS,diseases/9439/vulvar-vestibulitis-syndrome
Waardenburg syndrome,Other names: Mende Syndrome;  Van der Hoeve Halbertsma Waardenburg Gualdi Syndrome,diseases/5525/waardenburg-syndrome
Waardenburg syndrome type 1,Other names: Waardenburg's syndrome type 1;  WS1,diseases/5519/waardenburg-syndrome-type-1
Waardenburg syndrome type 2,Other names: WS 2;  WS type 2,diseases/5520/waardenburg-syndrome-type-2
Waardenburg syndrome type 3,Other names: Klein-Waardenburg syndrome;  Waardenburg syndrome with upper limb anomalies;  Waardenburg syndrome;  type 3;  White forelock (poliosis) syndrome with multiple congenital malformations;  WS3,diseases/5523/waardenburg-syndrome-type-3
Waardenburg syndrome type 4,Other names: Hirschsprung disease with pigmentary anomaly;  Shah-Waardenburg syndrome;  Waardenburg-Hirschsprung disease;  Waardenburg-Hirschsprung syndrome;  Waardenburg-Shah syndrome;  WS4,diseases/5524/waardenburg-syndrome-type-4
Wagner syndrome,Other names: Erosive vitreoretinopathy;  ERVR;  Hyaloideoretinal degeneration of Wagner;  Wagner disease (formerly);  Wagner syndrome type 1;  Wagner vitreoretinal degeneration;  WGN1,diseases/7871/wagner-syndrome
WAGR syndrome,Other names: 11p deletion syndrome;  AGR triad;  Chromosome 11p deletion syndrome;  WAGR Complex;  Wilms tumor;  Aniridia;  Genitourinary anomalies;  mental Retardation syndrome;  Wilms tumor-aniridia-genitourinary anomalies-intellectual disability syndrome;  Wilms Tumor-Aniridia-Gonadoblastoma-Mental Retardation syndrome,diseases/5528/wagr-syndrome
Walbaum Titran Durieux Crepin syndrome,Other names: Tetradactyly of both hands;  hypoplasia of both fibulas and scapuloiliac hypoplasia,diseases/5529/walbaum-titran-durieux-crepin-syndrome
Waldenstrom macroglobulinemia,Other names: Lymphoplasmacytic lymphoma;  Macroglobulinemia of Waldenstrom;  Waldenstrom's macroglobulinaemia;  Waldenstrom's syndrome,diseases/7872/waldenstrom-macroglobulinemia
Walker Dyson syndrome,Other names: Aniridia associated with mental retardation and other eye abnormalities,diseases/5530/walker-dyson-syndrome
Walker-Warburg syndrome,Other names: Cerebroocular dysgenesis;  Cerebroocular dysplasia muscular dystrophy syndrome;  Chemke syndrome;  COD-MD syndrome;  Hard +/- E syndrome;  Hard syndrome;  Hydrocephalus;  agyria and retinal dysplasia;  Pagon syndrome;  Warburg syndrome,diseases/2599/walker-warburg-syndrome
Wallenberg syndrome,Other names: Lateral medullary syndrome;  PICA syndrome;  Posterior inferior cerebellar artery syndrome;  Vertebral artery syndrome;  Wallenberg's syndrome,diseases/9263/wallenberg-syndrome
Wallerian degeneration,Other names: Wallerian degeneration of the pyramidal tract,diseases/7875/wallerian-degeneration
Wandering spleen,Other names: Displaced spleen;  Drifting spleen;  Floating spleen;  Splenic ptosis;  Splenoptosis,diseases/328/wandering-spleen
Warfarin resistance,,diseases/12721/warfarin-resistance
Warfarin sensitivity,Other names: Coumadin sensitivity,diseases/12639/warfarin-sensitivity
Warfarin syndrome,Other names: Congenital warfarin syndrome;  Coumarin embryopathy;  Coumarin syndrome;  di Sala syndrome;  DiSala syndrome;  Embryofetopathy due to oral anticoagulant therapy;  Fetal anticoagulant syndrome;  Fetal warfarin syndrome;  Vitamin K antagonists embryofetopathy;  Vitamin K-antagonist embryofetopathy;  Vitamin K-antagonist embryopathy;  Warfarin embryofetopathy;  Warfarin embryopathy,diseases/8580/warfarin-syndrome
Warm antibody hemolytic anemia,Other names: Warm antibody AIHA;  Warm antibody autoimmune hemolytic anemia;  Warm-reacting-antibody hemolytic anemia,diseases/7876/warm-antibody-hemolytic-anemia
Warman Mulliken Hayward syndrome,Other names: Craniosynostosis Boston type;  Craniosynostosis Warman type,diseases/5538/warman-mulliken-hayward-syndrome
Warsaw breakage syndrome,,diseases/13708/warsaw-breakage-syndrome
Warthin tumor,Other names: Papillary cystadenoma lymphomatosum (formerly),diseases/8569/warthin-tumor
Waterhouse–Friderichsen syndrome,Other names: Fatal pneumococcal Waterhouse-Friderichsen syndrome;  Waterhouse-Friderichsen syndrome,diseases/9449/waterhousefriderichsen-syndrome
Watermelon stomach,Other names: Gastric antral vascular ectasia;  GAVE,diseases/7877/watermelon-stomach
WDHA syndrome,Other names: Pancreatic cholera;  Verner-Morrison syndrome;  Vipoma Syndrome;  Watery Diarrhea Syndrome;  Watery diarrhea;  hypokalemia;  and achlorhydria syndrome,diseases/3787/wdha-syndrome
Weaver syndrome,Other names: Camptodactyly - overgrowth - unusual facies;  Camptodactyly-overgrowth-unusual facies syndrome;  EZH2 Related Overgrowth;  Overgrowth syndrome with accelerated skeletal maturation;  unusual facies;  and camptodactyly;  Weaver like syndrome;  Weaver Smith syndrome;  WSS,diseases/7878/weaver-syndrome
Weaver Williams syndrome,Other names: Mental retardation;  microcephaly;  weight deficiency;  unusual facies;  clinodactyly;  bone hypoplasia;  and cleft palate,diseases/5545/weaver-williams-syndrome
Weber syndrome,Other names: Midbrain stroke syndromes,diseases/8676/weber-syndrome
Weill-Marchesani syndrome,Other names: Mesodermal dysmorphodystrophy congenital;  Spherophakia-brachymorphia syndrome;  WM Syndrome;  WMS,diseases/4936/weill-marchesani-syndrome
Weissenbacher-Zweymuller syndrome,Other names: Pierre Robin syndrome with fetal chondrodysplasia;  Weissenbacher-Zweymüller syndrome;  WZS,diseases/4351/weissenbacher-zweymuller-syndrome
"Welander distal myopathy, Swedish type",Other names: Distal myopathy;  Swedish type;  WDM;  Welander distal myopathy,diseases/5552/welander-distal-myopathy-swedish-type
Wellesley Carmen French syndrome,Other names: Cataracts;  aberrant oral frenula;  and growth retardation,diseases/5554/wellesley-carmen-french-syndrome
Wells syndrome,Other names: Bullous cellulitis with eosinophilia;  Eosinophilic cellulitis;  Wells' syndrome,diseases/329/wells-syndrome
Wells-Jankovic syndrome,Other names: Familial spastic paraparesis and deafness;  Spastic paraparesis - deafness,diseases/5555/wells-jankovic-syndrome
Werner syndrome,Other names: Werner's syndrome;  WRN,diseases/7885/werner-syndrome
Wernicke-Korsakoff syndrome,,diseases/6843/wernicke-korsakoff-syndrome
West Nile virus encephalitis,,diseases/9959/west-nile-virus-encephalitis
West nile virus,,diseases/9238/west-nile-virus
West syndrome,Other names: Infantile spasm;  IS;  Tonic spasms with clustering;  arrest of psychomotor development and hypsarrhythmia on EEG;  West's syndrome;  X-linked infantile spasm syndrome;  X-linked infantile spasms,diseases/7887/west-syndrome
Western equine encephalitis,Other names: WEE;  Western equine encephalomyelitis,diseases/7888/western-equine-encephalitis
Weyers acrofacial dysostosis,Other names: Acrofacial dysostosis of Weyers;  Curry Hall syndrome,diseases/497/weyers-acrofacial-dysostosis
Weyers ulnar ray/oligodactyly syndrome,,diseases/10178/weyers-ulnar-rayoligodactyly-syndrome
WHIM syndrome,Other names: Warts;  Hypogammaglobulinemia;  Infections;  and Myelokathexis;  WHIMS,diseases/9297/whim-syndrome
Whipple disease,Other names: Intestinal lipodystrophy;  Intestinal lipophagic granulomatosis;  Secondary Non-tropical Sprue;  Tropheryma whippelii infection,diseases/7889/whipple-disease
"Whistling face syndrome, recessive form",,diseases/10024/whistling-face-syndrome-recessive-form
White forelock with malformations,,diseases/10081/white-forelock-with-malformations
